#pdb_id, name, net_count, latitude, longitude, address1, address2, city
18,"NIKHEF Amsterdam",178, 52.356394, 4.950837,"Science Park 105","","Amsterdam"
61,"Digital Realty Amsterdam (Science Park)",80, 52.356353, 4.951609,"Science Park 120","","Amsterdam"
62,"Equinix Amsterdam South East (AM7)",173, 52.303083, 4.938021,"Kuiperberweg 13","","Amsterdam"
63,"Global Switch Amsterdam",92, 52.343984, 4.828711,"Johan Huizingalaan 759","","Amsterdam"
64,"Interxion Amsterdam Schiphol Rijk (AMS3, AMS5, AMS7, AMS8, AMS10)",58, 52.28415, 4.770855,"Cessnalaan 1","","Amsterdam"
80,"Equinix Amsterdam Gyroscoopweg (AM8)",27, 52.396814, 4.838579,"Gyroscoopweg 2E & 2F","","Amsterdam"
104,"Interxion Science Park, Amsterdam (formerly Vancis / SARA)",113, 52.356671, 4.952501,"Science Park 121","","Amsterdam"
110,"BIT Datacenter Ede I",5, 52.030762, 5.624974,"Kelvinstraat 63","","Ede"
118,"Equinix Enschede (EN1)",17, 52.236979, 6.84964,"Auke Vleerstraat 1","","Enschede"
212,"Spaanse Kubus Rotterdam",21, 51.930359, 4.414322,"Vlaardingweg 62 - 415","","Rotterdam"
213,"Unilogic Networks Datacenter Sittard",1, 50.995925, 5.845593,"Bergerweg 120","","Sittard"
235,"Mediagateway",15, 52.241526, 5.169722,"Koos Postemalaan 2","","Hilversum"
236,"Interxion Amsterdam, Gyroscoopweg (AMS1, AMS4)",11, 52.399861, 4.842597,"Gyroscoopweg 60-62","","Amsterdam"
237,"Schuberg Philis Amsterdam (Schiphol Rijk)",7, 52.274896, 4.750866,"Boeing Avenue 271","","Amsterdam"
238,"KPN CyberCenterAmsterdam (Oude Meer)",14, 52.288922, 4.785289,"Amsterdam 1","Fokker Logistics Park 59; Fokkerweg 300","Oude Meer"
239,"Enertel Amsterdam (Aalsmeer)",2, 52.259591, 4.773554,"Amsterdam 2","Lakenblekerstraat 13","Aalsmeer"
245,"NovoServe Datacenter Doetinchem",2, 51.954262, 6.300219,"Gildenbroederslaan 1","","Doetinchem"
262,"Level(3) Amsterdam",5, 52.29643, 4.94859,"STEKKENBERGWEG 4","","Amsterdam"
299,"Global Crossing Joop",4, 52.33538, 4.933657,"Geesinkweeg 401 404,1096","","Amsterdam"
304,"Signet DC1",1, 51.501281, 5.460509,"Science Park Eindhoven 5218","","Son"
374,"EvoSwitch AMS1",96, 52.391165, 4.665267,"J.W. Lucasweg 35","","Amsterdam"
375,"Equinix Amsterdam (AM1/AM2)",77, 52.300077, 4.943306,"Luttenbergweg 4","","Amsterdam"
376,"Equinix Zwolle (ZW1)",3, 52.488492, 6.142697,"Telfordstraat 3","","Zwolle"
406,"euNetworks Amsterdam",36, 52.333407, 4.919422,"Paul van Vlissingenstraat 16","","Amsterdam"
421,"BIT Datacenter Ede II",12, 52.027212, 5.623903,"Galileilaan 19","","Ede"
426,"TCN SIG Telehousing Groningen",12, 53.246048, 6.52852,"Zernikelaan 16","","Groningen"
441,"Databarn Amsterdam",13, 52.396443, 4.851132,"Zekeringstraat 35","","Amsterdam"
442,"GrafiX Internet B.V. - Capelle",1, 51.953828, 4.585041,"Stationsplein 20","","Capelle aan den IJssel"
450,"Interxion Almere ALM1",2, 52.377538, 5.226435,"Randstad 22-153","","Almere"
494,"Digital Realty Amsterdam (Wenckebachweg)",24, 52.332165, 4.923265,"Amstel Business Park","H.J.E. Wenckebachweg 127","Amsterdam"
497,"GrafiX Internet B.V. - Alphen",1, 52.131092, 4.640164,"Handelsweg 8","","Alphen aan den Rijn"
524,"NedZone DC",10, 51.587535, 4.305055,"Drukkerij 6","","Steenbergen"
532,"TCN Eemsdelta",0, 53.437293, 6.858243,"Huibertgatweg 2","","Eemshaven"
538,"Databarn Rivium",5, 51.91038, 4.546787,"Rivium Boulevard 62","","Capelle aan den IJssel"
544,"Intermax Schouwburgplein Rotterdam",1, 51.92025, 4.474623,"Schouwburgplein 30-34","","Rotterdam"
551,"Interconnect Services Datacenter 's-Hertogenbosch",5, 51.686946, 5.358962,"Steenbok 1","","'s-Hertogenbosch"
566,"Digital Residence",0, None, None,"","","Nijmegen"
567,"Solcon Datacenter Dronten",1, 52.53901, 5.702234,"Het Zwarte Water 13","","Dronten"
596,"WideXS - G54",1, 52.400002, 4.841993,"Gyroscoopweg 54","","Amsterdam"
659,"GyroCenter DC2",8, 52.400495, 4.842911,"Gyroscoopweg 134-140","","Amsterdam"
678,"Luna.nl Rotterdam Puntegale",1, 51.90716, 4.462783,"Puntegaalstraat 109","","Rotterdam"
707,"Global-e Datacenter BV",4, 51.579083, 4.929291,"Haansbergseweg 12","","RIJEN"
774,"AkzoNobel Twincenter",2, 51.987397, 5.933516,"Tivolilaan 205","","Arnhem"
781,"Solcon Datacenter Apeldoorn",3, 52.24703, 6.001603,"Laan van de Ram 39","","Apeldoorn"
798,"NDIX Marktplaats Heerlen",1, 50.886951, 5.977958,"Geleenstraat 25-27","","Heerlen"
831,"Cap Gemini - DC Amsterdam",3, 52.395902, 4.870918,"Archangelkade 1-3","","Amsterdam"
834,"Datahouse Alkmaar",1, 52.625656, 4.770636,"Prof van der Waalsstraat 1","","Alkmaar "
848,"SmartDC Dataport of Rotterdam",13, 51.923689, 4.432138,"Van Nelleweg 1","","Rotterdam"
857,"Serverius DC1",24, 52.543666, 5.705215,"De Linge 26","","Dronten"
900,"Datacenter Dongen",0, 51.613511, 4.938011,"De slof 10c","","Dongen"
971,"UNET Almere",4, 52.346575, 5.182578,"Transistorstraat 7c","","Almere"
980,"Previder PDC2",9, 52.243834, 6.767264,"Barnsteenstraat 15","","Hengelo"
1000,"WickedWay Utrecht ",0, None, None,"Draaiweg ","","Utrecht"
1022,"KPN DC2",12, 52.336612, 4.886848,"Barbara Strozzilaan 251","","Amsterdam"
1062,"InterDC",2, 52.2203, 6.864338,"Josinkstraat 30","","Enschede"
1077,"Cofely (Maastricht-Airport)",8, 50.92816, 5.781292,"Amerikalaan 35","","Maastricht"
1083,"DCG - Amsterdam",11, 52.392897, 4.849214,"Kabelweg 48a","","Amsterdam"
1120,"Datahouse Spijkenisse",0, 51.855567, 4.301731,"Boyleweg 2","","Spijkenisse"
